jefe_hogar,genero,edad,estudiante,estado_civli,telefono_propio,smart_phone,desde_cuando_smart,mas_un_SIM,tipo_contrato,n_recarga_mensual,gasto_mensual_tel,empresa,porque_empresa,piensa_cambiarse,investigo_competencia,es_facil_cambiarse,paga_mas_esperado,nse,pobreza,empleo,ingreso_mensual,dist
1.0,1.0,61.0,2.0,3.0,1.0,1.0,1.0,2.0,Pospago,0.0,65.0,2.0,21.0,2.0,3.0,5.0,2.0,4.0,3.0,1.0,500.0,10101
1.0,1.0,58.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,2.0,23.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2500.0,10101
2.0,2.0,57.0,2.0,1.0,1.0,1.0,1.0,2.0,Prepago,4.0,25.0,2.0,22.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2500.0,10101
1.0,1.0,62.0,2.0,2.0,1.0,2.0,1.0,2.0,Pospago,0.0,32.0,1.0,22.0,2.0,5.0,5.0,2.0,4.0,3.0,1.0,266.6666666666667,10101
2.0,2.0,59.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,23.0,2.0,4.0,5.0,2.0,4.0,3.0,2.0,0.0,10101
1.0,2.0,35.0,2.0,5.0,1.0,1.0,1.0,2.0,Pospago,0.0,50.0,2.0,22.0,2.0,5.0,2.0,2.0,3.0,3.0,1.0,2500.0,10101
1.0,1.0,42.0,2.0,6.0,1.0,2.0,1.0,2.0,Prepago,4.0,28.0,2.0,23.0,2.0,5.0,5.0,2.0,4.0,3.0,1.0,450.0,10101
1.0,1.0,50.0,2.0,2.0,1.0,1.0,2.0,2.0,Prepago,3.0,38.0,1.0,23.0,2.0,5.0,5.0,2.0,5.0,3.0,1.0,800.0,10101
1.0,1.0,45.0,2.0,1.0,1.0,1.0,1.0,2.0,Prepago,3.0,25.0,2.0,23.0,2.0,5.0,5.0,2.0,4.0,3.0,1.0,2800.0,10101
1.0,2.0,42.0,2.0,3.0,1.0,2.0,1.0,2.0,Prepago,4.0,28.0,2.0,25.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,350.0,10101
1.0,1.0,40.0,2.0,1.0,1.0,1.0,2.0,2.0,Pospago,0.0,40.0,1.0,23.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,3000.0,10101
2.0,2.0,40.0,2.0,1.0,1.0,1.0,2.0,2.0,Pospago,0.0,40.0,1.0,23.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2700.0,10101
2.0,1.0,18.0,1.0,6.0,1.0,1.0,2.0,2.0,Pospago,0.0,45.0,1.0,23.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,10101
